Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
Chove Chuva,17/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ee79ae9287cd4984a8c2a70eed681728][1]_[1].jpeg,226,"[""Fotografia""]",Termo de Fomento 2019,Não se aplica,Workshop,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Programação,18/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[807dedd3d29d4bbfa3031c7c991248b9][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Elaboração Corporal,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[f0116fbdb2af46b3856d1d8043d2f914][1]_[1].png,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Pincelando Histórias,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[743b691e998346d398080c4494c906a9][1]_[1].png,2,"[""Artes Visuais"",""Artes Plásticas""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Tear,19/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[0f676fc80b674e56a681d4191863a508][1]_[1].jpeg,7,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Clube de Leitura,20/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b357befa290546cb9c230f954ac32c7c][1]_[1].jpeg,5,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Encontro,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Costuras Poéticas( Oficina de Férias),20/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[71ab7cf07051460abe205b2d606dd850][1]_[1].jpeg,4,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Brincando com as Aves,25/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[616da542f50b45feb66fb7056b183110][1]_[1].jpeg,50,"[""Educação Ambiental""]",Salas Verdes,Não se aplica,Oficina,Ambiental,Falso,Presencial,"[""Grabriela França"",""Paula Aparecida Souza""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Programação,25/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4143f2d23c10448c98bc7e6a1631c31f][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Elaboração Corporal,26/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[31088d114094499ebc84016d269ad723][1]_[1].png,3,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Tear,26/02/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5568248b422d4f99a86a7e34e9571f07][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",fevereiro
Brincadeiras Infantis,01/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[91787944dabc406ba6641290a55ed622][1]_[1].jpeg,13,"[""Cultura da Infância""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Costuras Poéticas,01/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7c809e69b4274d2db199e79bfc771cab][1]_[1].jpeg,15,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana M. Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Coletivo de Mulheres que leem Mulheres,07/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c3739d81b9944a4f99bac5762c3f0de5][1]_[1].jpeg,2,"[""Literatura""]",Conexão Comunitária,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Dança para Mulheres,08/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[950de8553e0841ee84ee3f855cd3b387][1]_[1].jpeg,7,"[""Dança""]",Termo de Fomento 2019,Não se aplica,Vivência,Arte e Cultura,Falso,Presencial,"[""Ellen Silvestre""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
