Título,Data,Cartaz,Total Global participantes,Área da atividade,Projeto,Subprojeto,Formato,Foco de atuação,Atividade Formativa?,Modalidade,Instrutor / Oficineiro / Artista,Papel / Função da AAB,Outras instituições envolvidas na atividade,Mês
Coletivo de Mulheres que leem Mulheres,28/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3bb25a988525474cb7d61e1fa2434825][1]_[1].jpeg,2,"[""Literatura""]",Conexão Comunitária,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Oficina de Cerâmica,28/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[51b360171ef84c69922c241885cc034c][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Arte nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Construção de Brinquedos,29/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[20d29dfc570e4aa6bb65fe7444d5887b][1]_[1].jpeg,10,"[""Educação Ambiental""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Vivian rau""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Modelagem em argila,29/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1d0e01f62ce84bb5b9744a0e7f6565f3][1]_[1].jpeg,10,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Tear de pregos,29/03/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d1bc37d4c947437ab2c7bbf39b53269e][1]_[1].jpeg,13,"[""Artesanato""]",Termo de Fomento 2019,Arte nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Mirna tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",março
Bordado,01/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c2a531de11034e5ba49e7bd66b5aa3d1][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Programação,01/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3e78c20cfb2442aaa45cae45650448c1][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Elaboração Corporal,02/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3287a212fb4c49be80d06e3e35fcb81f][1]_[1].png,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear,02/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d808afa9d6ea4da5be1befe5f304c06b][1]_[1].jpeg,9,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Costuras Poéticas,03/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[37dbbe596d324c0da88763d9e9416e32][1]_[1].jpeg,7,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,04/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e5345a4e6f3f4a468687a783f02fd974][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Cerâmica,04/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[52acba90dacc4c5aa5b49827fe99f681][1]_[1].jpeg,7,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Coletivo de Mulheres que leem Mulheres,04/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[5a37d45f3c8646d08358bd2d1bbb5f3f][1]_[1].jpeg,2,"[""Literatura""]",Conexão Comunitária,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se Aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Lian Gong,04/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6bb0dc2598a344e19f38031bc8ea3bb4][1]_[1].jpeg,4,"[""Cultura do bem estar""]",Termo de Fomento 2019,Parceria com UBS,Vivência,Arte e Cultura,Falso,Presencial,"[""Jaqueline e Andréia""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Arte de Brincar,05/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2bea0b32699d40ee8db8a34af3ce0f33][1]_[1].jpeg,14,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Kallu Whitaker""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",abril
Bordado,05/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3e341b86f64b441ea9e59adbcfe4d9ce][1]_[1].jpeg,6,"[""Memórias e Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Costuras Poéticas,05/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[60e2813067244903a84326674985057e][1]_[1].jpeg,8,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Juliana M. Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,08/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6f0e5f4f69ae41dfa1667b652f6af83e][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Programação,08/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c7f484c26ffe45d0a641c8e3cad15d67][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Manhã),09/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b9275de4e9184d36bdc4e6460fa919b5][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Tarde),09/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[065ef1489a9740d5906acec079d40f61][1]_[1].jpeg,3,"[""Artesanato"",""Artes Visuais""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Costuras Poéticas,10/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a8d8306f72cd4bb0a76b19f7bb43289a][1]_[1].jpeg,7,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana M. Strzygowski""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,11/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[100f9626733644fb955d9c2e6a4860b2][1]_[1].jpeg,6,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Wohnrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Cerâmica,11/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[09a7f2db07984c9ca170c6b2edbf051d][1]_[1].jpeg,3,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Lian Gong,11/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7f6251744b454ec9bffc53d8063ed26f][1]_[1].jpeg,5,"[""Cultura do Bem Estar""]",Termo de Fomento 2019,Parceria com UBS,Vivência,Saúde Física e Bem estar,Falso,Presencial,"[""Jaqueline e Andréia""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Palhaçaria,12/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[7f71e843bab9437bbae80b7ed0378bfb][1]_[1].jpeg,11,"[""Circo""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,15/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[130a792a2da74fe79b1c43adfbe5d62a][1]_[1].jpeg,4,"[""Artesanato""]",Termo de Fomento 2019,Artes Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Raquel Wonhrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Programação,15/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[574bbf4e002e4baf801338fba6d3273a][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Elaboração Corporal,16/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[349fb9ade5e94f6dbc5009fef0ec1a4d][1]_[1].png,5,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Manhã),16/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[aabbb1af30834b30ade5f368cfd4e697][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Tarde),16/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[54d49c0186e64fdda940c824cb6d3274][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Flima,19/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3b24a37da09c4abf8073793af9a7c290][1]_[1].jpeg,23,"[""Literatura""]",Termo de Fomento 2019,Flima,Vivência,Incentivo à Leitura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Fulni - ô,21/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[9c63d5d21c32411fadfc55f1056105e1][1]_[1].jpeg,67,"[""Dança"",""Música"",""Cultura Indígina""]",Termo de Fomento 2019,Não se aplica,Vivência,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,22/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[108a9b02794a4ec0b8841d7aefed7ea4][1]_[1].jpeg,3,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Manhã),23/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[4890e0799e7e4e54bcfbdfc092cbf90b][1]_[1].jpeg,2,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Tarde),23/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[292b71e59c2f4454a1d2b20f7e1f011a][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Visita e sessão de empréstimos alunos do ensino fundamental,23/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[da1997c41baa4868b98c8462664b704b][1]_[1].jpeg,30,"[""Literatura""]",Conexão Comunitária,Não se aplica,Visita,Incentivo à Leitura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Clube de Leitura,24/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[e37a3b38675948a5907afca1975b66ad][1]_[1].jpeg,6,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Oficina,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Comunicação Não Violenta ,24/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3418e8b04d2944f68e9b9f256ae138cd][1]_[1].jpeg,2,"[""Educação""]",Voluntariado,Não se aplica,Oficina,Desenvolvimento pessoal,Falso,Presencial,"[""Carina Grassetto""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,25/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b337cc266ce245fcbef590373ab59cb3][1]_[1].jpeg,7,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae  Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Cerâmica,25/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2c24cbfba4f3421ca54b68a8f1169662][1]_[1].jpeg,2,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae Odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Lian Gong,25/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[01855cfd30fc4e488df05b0b4f5fbca3][1]_[1].jpeg,5,"[""Saúde Física""]",Termo de Fomento 2019,Parceria com a UBS,Vivência,Saúde Física e Bem estar,Falso,Presencial,"[""Jaqueline e Andréia""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Construção de Brinquedos,26/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a45285ef13d8484c8525bcf92ba79ae5][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Túlio Macedo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Modelagem em argila,26/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b3e981ee83264b309c298ec569e9f41c][1]_[1].jpeg,15,"[""Artes Visuais""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Mirna tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Participação no Encontro com o Povo Fulni-ô | Exposição de Livros com Temática Indígena e Ambiental,26/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[75e015882c57409d9658c4b85e1c6c74][1]_[1].jpeg,50,"[""Literatura"",""Educação Ambiental""]",Conexão Comunitária,Não se aplica,Evento,Ambiental,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""Ritus""]",abril
Tear Vivo,26/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b2f0dd14a6fc43889275f041069fcafd][1]_[1].jpeg,15,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Vivência,Arte e Cultura,Falso,Presencial,"[""Mirna Tominaga""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Bordado,29/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[426e9c854cf248cfab389c3b43fb6342][1]_[1].jpeg,4,"[""memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Programação,29/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[cf0675f82da64363b2184b41d029439e][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Elaboração Corporal,30/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b4ee5ca0d2fc46c38b267a4e257f658c][1]_[1].png,4,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Selma Aparecida""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Manhã),30/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[2a29e5b38ad348b895c3bc250fb78255][1]_[1].jpeg,3,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Tear (Turma da Tarde),30/04/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[c92b340bb367400b99a86fc64e786db2][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",abril
Exposição e sessão de empréstimos poesia e a palavra: Feira dos produtores ,02/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a8d6e44102144aba9783e45fb4a13ec3][1]_[1].jpeg,30,"[""Literatura""]",Conexão Comunitária,Não se aplica,Evento,Incentivo à Leitura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""Feira dos Produtores""]",maio
30° Encontro de Desenho de Rua,03/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[54ea51dc875a4221b761288fb4460528][1]_[1].jpg,16,"[""Artes Visuais""]",Termo de Fomento 2019,Não se aplica,Encontro,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear (Turma da Tarde),07/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a4706cd1c8414743a1412f0cb39dc4ad][1]_[1].jpeg,5,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Costuras Poéticas,08/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b9914c77041d45909ca9ddfa588b010c][1]_[1].jpeg,5,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
"Exibição do Filme ""O Grande Ano""",08/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[1554fbcecb9c436fa0cd8c959772a22e][1]_[1].jpg,46,"[""Educação Ambiental""]",Salas Verdes,Não se aplica,Vivência,Ambiental,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,09/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[22caa78acd3547a0afd366424bfea665][1]_[1].jpeg,4,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
cerâmica,09/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[f2138a72f22d494b8e6f1f18c2709885][1]_[1].jpeg,4,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae odo""]",Gestora,"[""Prefeitura SJC"",""FCCR""]",maio
Coletivo de Mulheres que leem Mulheres,09/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[916dcd12aeb744d8a88176d16a259762][1]_[1].jpeg,2,"[""Literatura""]",Conexão Comunitária,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Não se aplica""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Arte de Brincar,10/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[98974764a7b6407eb30868c5df442be4][1]_[1].jpeg,15,"[""Cultura da Infância""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,13/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[3678baa9e56448329c615aceb45c338d][1]_[1].jpeg,5,"[""Memórias""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Comunicação Não Violenta,13/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[edcf554d12e247099f1740d449b44c10][1]_[1].jpg,3,"[""Educação""]",Voluntariado,Não se aplica,Oficina,Desenvolvimento pessoal,Falso,Presencial,"[""Carina Grassetto""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear (Turma da Manhã),14/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6bcd06fc4416483b8e69eb8a7e8d4d51][1]_[1].jpeg,3,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear (Turma da Tarde),14/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d2213a18f0994c31b41395c3f1c9e7e2][1]_[1].jpeg,6,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Costuras poéticas,15/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b5ac87a0056e458b82871339a13a0f71][1]_[1].jpeg,5,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,16/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[6d2180c2f4e646bda47923f889adbfbd][1]_[1].jpeg,3,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Cerâmica,16/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[efe202b8cabd4ab7955def6f9e105c4c][1]_[1].jpeg,6,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Misae odo""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Estudos literários: Elos da Língua,16/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[75336247b62d42be82fd1f0e14de645f][1]_[1].jpeg,26,"[""Literatura""]",Termo de Fomento 2019,Não se aplica,Encontro,Incentivo à Leitura,Falso,Presencial,"[""Hellen Santos""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Palhaçaria,17/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[b13fdda4198e4d6281328e773d335d76][1]_[1].jpeg,8,"[""Circo""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Miguel Safe""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,20/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d5e7fe86ec31445481a6a02012425018][1]_[1].jpeg,3,"[""Memórias""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Meditação,20/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[d5e466170f24446dab147f8109b96f44][1]_[1].jpeg,2,"[""Saúde Física""]",Voluntariado,Não se aplica,Oficina,Saúde Física e Bem estar,Falso,Presencial,"[""Marly Andrade""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Tear (Turma da Tarde),21/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[a1c45abaaaa5441583235daf1c2d5c91][1]_[1].jpeg,5,"[""Artes Visuais"",""Artesanato""]",Voluntariado,Não se aplica,Oficina,Arte e Cultura,Falso,Presencial,"[""Márcia Tamer""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Costuras Poéticas,22/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[cfccf1ef534d4b1f8c979b35b572d6b9][1]_[1].jpeg,5,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Juliana Machado""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,23/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ed5e9c65d3f04c159cb421af864a7083][1]_[1].jpeg,3,"[""Artesanato""]",Termo de Fomento 2019,Arte Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Upcycling/Reutilização,24/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ace7a47ecfd045edb7d6ea0d796c8810][1]_[1].jpeg,5,"[""Economia CrIativa""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Beatriz Rinaldini""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Bordado,27/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[25170f4bb6c141e2ad9f49394e536dd4][1]_[1].jpeg,5,"[""Artes Visuais""]",Termo de Fomento 2019,Artes Nos Bairros,Oficina,Arte e Cultura,Falso,Presencial,"[""Raquel Whonrath""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
Programação,27/05/2025,Reserved_ImageAttachment_[6]_[Cartaz][32]_[ffbbcd8b194b4156bac52057f5c7a48b][1]_[1].jpg,1,"[""Tecnologia""]",Voluntariado,Não se aplica,Oficina,Inclusão digital,Falso,Presencial,"[""Felipe Vieira""]",Gestora,"[""FCCR"",""Prefeitura SJC""]",maio
